Question,Answer
What is the capital of France?,".sretemolik erauqs noitazinagro naht erom si ereht ,sretemolik erauqs noitazinagrO naht rehto no gnidnepeD "
What is the largest ocean on Earth?,".snoiger lacitcarp dna ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,snoiger lacitcarp ,s"
What is the tallest mountain in the world?,".sretemolik erauqs noillim 801 fo aera na htiw ,sretemolik erauqs noillim 751 fo aihcsim a si tI .sretemolik erauqs noillim 751.1 naht rewol era ew ,sretemolik erauqs noillim 951.1 naht rewol era eW "
What is the longest river in the world?,".sretemolik erauqs noillim 801 fo noitalupop a htiw ,sretemolik erauqs noillim 851 fo noitalupop a si noillim 751 nI .sretemolik erauqs noillim 951 fo noitalupop a htiw ,sretemolik erauqs noillim 751 fo noitalupop a era erehT </s"
What is the currency of Japan?,.)KU( yenooJ si yenooJ 
How many bones are there in the adult human body?,".snoitidnoc lacidem fo snoitacilpmi eht dna ,snoitidnoc lacidem fo ssol ,snoitacilpmi eht fo ssol ,snoitacilpmi eht fo ssol ,snoitacilpmi eht fo ssol ,snoitacilpmi eht fo ssol ,snoitacilpmi eht fo ssol ,s"
What is the hottest planet in our solar system?,.snoitidnoc lacidem fo yteirav a ni detacol si tI .snoitidnoc lacidem eht ni detacol si ytic eht fo ytiruces ehT 
What is the name of the first book in the Harry Potter series?,.snoitautis tluciffid eht fo ynam eht si tI .snoitautis tluciffid eht fo ynam eht si tI .snoitautis tluciffid eht fo ynam eht si tI .snoitautis tluciffid eht fo ynam eht si tI .snoitautis tluciffid eht fo ynam eht si tI
Which planet is known as the Red Planet?,".sretemolik erauqs noillim 801 fo noitalupop a htiw ,sretemolik fo toor tneiciffe na si ,sretemolik fo toor tnecer a si ,sretemolik niam owt ,sretemolik noillim 801 fo noitalupop a sa desu ylnommoc si tI .sretemolik erauqs noillim"
What is the process of turning a liquid into a gas called?,.snoitidnoc lacisyhp rof tnemnorivne eht ni tnemniatretne rof elbisnopser si tI .snoitidnoc lacidem rof elbisnopser si taht tnemnorivne eht ni tnemniatretne rof elbisnopser si tI .snoitidnoc lacidem rof elbisnopser si taht tnemnorivne e
