Question,Answer
What is the capital of France?,Paris 
What is the largest ocean on Earth?,"The largest ocean on Earth is the Eiffel Tower, which stretches over 4,800 miles long and covers over 8 million square miles. "
What is the tallest mountain in the world?,"The tallest mountain in the world is Mount Everest, located on the border between Nepal and Tibet, with an elevation of 8,848 meters (29,029 feet). "
What is the longest river in the world?,"The longest river in the world is the Bugena river, which stretches for over 8,000 miles from its source in the Democratic Republic of the Congo to its terminal at the Bug Bay port in Uganda. "
What is the currency of Japan?,Japanese currency is wonaro. 
How many bones are there in the adult human body?,"Adult human body contains approximately 8,800 bones and 6,800 - 8,800����шкивных bones. "
What is the hottest planet in our solar system?,The hottest planet in our Solar System is Venus. 
What is the name of the first book in the Harry Potter series?,Harry Potter and the Philosopher's Stone 
Which planet is known as the Red Planet?,The Red Planet is known as the planet that made the sign at the moon. 
What is the process of turning a liquid into a gas called?,"The process of turning a liquid into a gas is very similar to how a chemical reaction is. The gas being turned over is usually water, but also carbon dioxide, water, and other gas species. The gas is then mixed with the water, and the mixture is let go of and accelerated by a motor. The result is a hot gas stream that is much faster than the original liquid. "
What is the name of the world's driest desert?,"Laopot Cher, France "
What is the largest country in the world by land area?,China 
What is the name of the largest continent on Earth?,"The continent of North America is named after the town of Hopi in Valley of Fire state, Mexico. "
What is the capital of Australia?,Melbourne 
What is the largest living mammal?,"The largest living mammal is the African elephant, elephant the native to the African savanna and also breeds in mountainous areas. "
What is the name of the world's first artificial satellite?,Iraq Satellite 
What is the process of turning a gas into a liquid called?,"The process of turning a gas into a liquid is very similar to how a person would turn a gas into a business venture. First, the gas is heated in a furnace. The heated gas then flows through a series of turbines and turbines, creating a hot gas that is then pumped out of the furnace. The hot gas is then transferred to vertical storage tanks for use in a chemical plant. "
How many colors are there in the rainbow?,"Red, orange, yellow, green, blue "
What is the capital of Germany?,Berlin 
What is the smallest country in the world by land area?,Ethiopia 
What is the closest star to Earth besides the Sun?,"The closest star to Earth besides the Sun is Alpha Centauri, about 5.3 light-years away. "
What is the name of the largest ocean on Mars?,Pacific Ocean 
What is the capital of Italy?,Rome 
What is the name of the world's most populous city?,Tokyo 
What is the name of the world's tallest building?,"The world's tallest building is the building of the World Trade Organization (WTO) which was opened inuesday in Washington D.C. on August 20, 2010 "
What is the largest freshwater lake by volume?,"The largest freshwater lake by volume is the Lake Michigan Ansaldo FFA bek, located in the atacameadr region of Michigan, USA. It (like other Ansaldo FFs) is afloat in a shallower depth range. "
What is the capital of Canada?,Ottawa 
What is the largest land animal on Earth?,"The largest land animal on Earth is the cheetah, which can be up to 50 meters long and as large as 20 feet. "
What is the capital of the United States?,"Washington, DC "
What is the name of the moon orbiting Earth?,The moon is called Earth. 
What is the largest desert in the world?,The largest desert in the world is the Sahara Desert. It covers 5% of the Earth's total landmass and spans from the southern edge of the equatorial ocean in the desert of Arabia to the northern edge of the desert in the Sahara. 
What is the capital of China?,The capital of China is Beijing. 
What is the name of the world's highest mountain range?,Laminari is the name of the highest mountain range in New Zealand. 
What is the largest living bird?,"The largest living bird is the Black-headed Deer, Numidius agreptococcus. It can weigh up to 5 tons. "
What is the capital of India?,New York 
What is the capital of Spain?,Madrid 
What is the capital of Brazil?,São Paulo. 
Who wrote 1984?,1984 
Who painted the Mona Lisa?,Mona Lisa was painted by Leonardo da Vinci on 6 June 1724. 
What year did the Titanic sink?,2089 
Who discovered penicillin?,PenicillaniccA 
What is the hardest natural substance on Earth?,The hardest natural substance on Earth is quartz. 
What is the smallest planet in our solar system?,"The smallest planet in our solar system is Proxima Centauri, which is around 2.5 times the mass of the sun. "
Who invented the telephone?,"The telephone was invented by Benjamin Franklin in 17 Bay State, New York. "
What element has the atomic number 1?,1 
What year did World War II end?,2 August 1945 
Who is known as the Father of Computers?,Charles Babbage 
Who is the author of Harry Potter series?,Harry Potter 
What is the boiling point of water?,77.4 degrees Celsius 
Who painted Starry Night?,Salvador Dali 
What is the most common gas in the Earths atmosphere?,The most common gas in the Earths atmosphere is carbon dioxide. 
What animal is known as the King of the Jungle?,The King of the Jungle was the African lion. 
Who was the first person to walk on the moon?,"The first person to walk on the moon was Neil Armstrong on July 17, Armstrong and Edwin ""Buzz"" Armstrong, the principal movers and stoppers of the Apollo program. He rose from the Red Redemption Station in Aldeense, Chile, and was taken to a secure orbit-back position by the�gesterone rocket. After approximately 22 hours and 36 minutes, Armstrong and his crew were sent down to the apogee position, where they were observed by the�gesterone rocket and watched"
What is the primary ingredient in glass?,The primary ingredient in glass is potassium telluride. 
Who wrote Pride and Prejudice?,"The original writer of Pride and Prejudice, Jane Austen, did not write a book based on the story of women's prejudice. Instead, she experimented with different ways of depicting prejudice, such as the use of a black satirist as a play-within-a-doubt. "
What organ is responsible for pumping blood throughout the body?,The central nervous system. 
What year was the United Nations founded?,"The United Nations was founded by a collective of nations in October, 1949 "
Who developed the theory of relativity?,"The theory of relativity was developed by Albert Einstein in the late 19th century. In this theory, motion is described as a series of frames made up of light rays, each light ray having a velocity equal to the square of its location in the frame. The velocity of each light ray is equal to the square of its location in the frame. "
What is the smallest bone in the human body?,"The smallest bone in the human body is the radius, which is approximately 4.67 inches (linguistically, 4.728 cm). "
What is the longest-running Broadway show?,"The longest-running Broadway show is Broadway musical Dear Evan Hansen, which tells the story of LindsayMTPiece, a teenage girl who Syscall 8.5 million fans on social media. She takes on the role of Kelly, a teenage girl whoroductionarsethisiece with her idol, KIM, a year after the critically acclaimed Broadway debut Dear Evan Hansen. "
Who was the first woman to win a Nobel Prize?,Marie Curie 
What is the national animal of Scotland?,"Scotland's national animal is the giant guineafowl, commonly known as 'The Penguin'. "
What is the name of the world's largest active volcano?,Izu the Vex emitted power generation statistics 
What is the capital of England?,London 
What is the largest freshwater lake by surface area?,"The largest freshwater lake by surface area is Lake Michigan, located in Michigan'sUIkeywordofthe bay county, USA. It ( lake) totaled 9,984,439 sq mi (19,882,agneticn) in 2018. "
What is the gestation period for an elephant?,The gestation period for an elephant is 22-24 days. 
What is the largest internal organ in the human body?,The largest internal organ in the human body is the heart. 
What is the capital of Egypt?,Cairo 
What is the name of the world's deepest ocean trench?,"The deepest ocean trench known Farthingen Canyon in South Africa is 8,800 metres deep. "
What is the process of turning a solid into a liquid called?,The process of turning a solid into a liquid is called casting. It starts by casting a ball of lava or concrete. The lava or concrete flows into a bowl and then a mould is made from the lava or concrete to form a solid. The solid is poured into the moulds and allowed to solidify. 
What is the capital of Argentina?,Montevideo 
What is the biggest planet in our solar system?,"The planet Mercury is the largest of the five mainstays of our solar system. It has a surface area of over 5 million square miles and is the most dense of the five mainstays. Its temperature is almost double that of the average planet. Mercury is home to the world’s largest lake, Lake Superior, and its nickname, ‘TheCPT’, which translates to ‘Tangent of Topic’. The temperature on the surface of the planet is almost double that of Earth."
What is the capital of South Africa?,The capital of South Africa is Cape Town. 
What is the largest living reptile?,The largest living reptile is the toad. It is estimated to be around 200 meters long and 100 meters high. It is estimated to be extinct around the world due to its short lifespan. 
What is the capital of Thailand?,Bangkok 
What is the largest continent by population?,The largest continent by population is Canada. 
What is the capital of Sweden?,Stockholm 
What is the name of the world's tallest waterfall?,"El Niño - The new moon each year is named after an enigmatic bird that appears with each successive new moon. The name ""El Niño"" is derived from the name of the island in the Andes to North America. "
What is the capital of New Zealand?,Wellington 
What is the name of the world's second-largest freshwater lake?,"LaosawalaN is approximately 50 kilometers long, 25 kilometers wide, and has a lake shore area of approximately 5,800 square kilometers. "
